反応集男, 東芝が手掛けていたテレビブランド「REGZA（レグザ）」が2022年に、薄型テレビの国内シェアで初めて首位となった。東芝の経営危機で苦境に陥り、18年に中国の家電大手、海信集団（ハイセンスグループ）の傘下に入り再建を進めていた。国内のテレビ市場は縮小傾向だが、手ごろな価格やネット対応機能などを充実させた中国勢が若年層を中心に新たな需要を…   続きはソース元で  https://www.nikkei.com/article/DGXZQOUC1399Z0T10C23A1000000/   関連ソース   薄型テレビでTVS REGZAが初の年間1位に王手！　シャープを抜く  https://www.bcnretail.com/market/detail/20221216_308770.html 
反応集女, 金額じゃなく台数シェアな 
反応集男（渋め）, 中国メーカーやんけ 
反応集男（高め）, チューナーレステレビ作ってくれたら買い換える 
反応集男（遅め）, 中国人は経営が上手い 
反応集男, >>5  日本人が下手すぎ 
反応集女, ハイセンスの安いテレビでも昔と違って色がまとも 
反応集男（渋め）, ハイセンスになってからも  タイムシフト機能は残ってる？  なら買い換えるとき安心だけど。 
反応集男（高め）, 日本は  時代について行けない老害が  政治経済の実権を握ってるから 
反応集男（遅め）, >>5-6  あなたたちの言う商売の上手さって、まず『心無い』ことなのよ  手段を選ばず結果をもぎ取れ、って。   目指すべき世界ではない。 
反応集男, 家庭内ネットワークに繋げる家電に中国資本製は無いわｗ  こんなテレビ家庭内ネットワークに接続したら他の接続してるPCとかに何をしだすか分からん  何ならこのテレビもマイクついてたりしてたらそこから室内の会話音声を北京に流してるかもしれんしな  サムソンのテレビがテレビのマイクが拾った室内の会話をソウルに送信してた事がバレてたけど同じ話  仮にそんな事してなくても、このテレビでどんな内容のコンテンツを観てるかは逐次北京に流して思想信条などの  プロフィールを作成されててもおかしくない 
反応集女, >>8  月1000円もかかるから止めた  節電しなきゃ 
反応集男（渋め）, >>8  上位機種にはタイムシフト機能は搭載されてる  ただし、上位機種だとソニーとかパナソニックの価格帯と同じになるから中国製の高価格機種は普通は買わないんじゃないかな 
反応集男（高め）, 来客時にテレビがLGとかハイセンスだとププッて思われそうだから嫌！でも東芝ならまだマシ…ってやつがいるんだろ？ 
反応集男（遅め）, >>3  品質にこだわらず、日本製にこだわると、今度は選択肢がない 
反応集男, 元「パイレーツ」、2人の現在に驚き「超絶美人」「さらに可愛くなった」40代にはまったく見えない…スタイル抜群の水着姿も  https://gyyku.meexpress.net/0117y/xyov/97dd0c.html 
反応集女, >>14  外国のリゾートホテル行ったらSAMSUNGだのハイセンスばかりだからあまり気にしないかもな 
反応集男（渋め）, >>12  え？有料なの？   >>13  なるほどね  パナの全録は使いにくそうだけど  同程度の金額ならパナ選ぶか 
反応集男（高め）, また日本負けたか  もうずいぶん前から、価格だけじゃなくて性能でもって完敗だよね 
反応集男（遅め）, >>18  電気代だろ  タイムシフトって結局ずっと録画してるって事だから電気食うよ 
反応集男, 元「パイレーツ」、2人の現在に驚き「超絶美人」「さらに可愛くなった」40代にはまったく見えない…スタイル抜群の水着姿も  https://gyyku.meexpress.net/0117y/mojn/59260g.html 
反応集女, 土下座しなかったDOGEZATV 
反応集男（渋め）, シャープも東芝も中華にあげたところは成功  エルピーダもマイクロンで成功   ストレージもウエスタンデジタルで成功   原発もエネルギー高騰でウエスチンハウスが儲けそう   日本はもっと経営者に報酬与えたほうがいいよとりあえず。  東芝再生したら二割株やるぞ、くらいでいい。 
反応集男（高め）, >>1  無能ジャップ経営者ではなくて中華様が経営するとすぐに首位かよｗ 
反応集男（遅め）, 東芝に売られた事業が軒並み好調な事情  https://www.itmedia.co.jp/business/articles/2209/29/news061.html  経営の自由度が格段に増し、いちいち日本の（世界をよく知らない）  親会社の経営陣の了解を得なくとも思い切った投資ができることで、  成長機会を確実に捉えることができる   東芝社内に抱え込まれていた間は、「事業の特性や勘所を理解できない」  親会社のトップ経営陣の「口は出すけど金は出さない」態度のせいで  成長の芽を摘み取られていた 
反応集男, >>23  リーダーの選出方法が間違っているんだろうな  社内の派閥争いが趣味の無能が出世する仕組みが出来上がってしまっている 
反応集女, 中国父さんはやっぱ凄いな 
反応集男（渋め）, REGZA、10年以上使ってるわ  買い換えたいのに壊れてくれない 
反応集男（高め）, 東芝が作ってた頃のレグザまだ使ってるわ  テレビ全然見ないから長持ちする 
反応集男（遅め）, ほんと団塊世代経営者って万死に値する無能ドモ 
反応集男, >>26  ごますりだからね 
反応集女, 2010年のエコポイント目当てで買った「株式会社東芝」のレグザは未だ現役   リモコンに「地アナ」ボタンがある 
反応集男（渋め）, ゲームよくやるんで国内メーカーなら東芝REGZA一択だった  ソニーのBRAVIAとかシャープのAQUOSは論外すぎた  なお今はLGをOLEDを持ってる  これ最強 
反応集男（高め）, >>10  手段選ばない結果内輪揉めと身内叩きで利益確保して倒れていったのが日本の悪いところ 
反応集男（遅め）, >>34  (´･∀･｀) 
反応集男, 日本経済衰退の最大の戦犯は  労働者でも政治家でも官僚でもなく  無能な経営者 
反応集女, 全録は便利 
反応集男（渋め）, 日本の経営者はマーケティングから製品までの判断が遅いって言われてるな 
反応集男（高め）, 東芝自体もう日本企業じゃないし 
反応集男（遅め）, ビエラやAQUOSがダメなのはともかく、ソニーのBRAVIAもダメになってしまったのか  PS5が買えるようになって伸びると思ったんだけどね  結局周りが自爆して硬い東芝が残ったという事か 
反応集男, 日本の企業は定年退職した元社員に支払う企業年金をコストに上乗せしなきゃならないんでしょ  老人が長生きして増えすぎて、企業にとってかなりのコスト負担になってるんじゃないの？   JALだって再建計画に企業年金支払いを半額にする、というのを盛り込んだそうだし、日本は老人の数が減らなければ日本企業は中韓にコストで勝てない 
反応集女, まあ安くすれば売れるわな 
反応集男（渋め）, >>40  ソニーは自前で液晶パネルを作っていないから、ソニーの液晶テレビの液晶パネルは昔からサムスン製でしょ   ちなみに有機ELは大型パネルをLGしか作れないから、どのメーカーのものを買っても有機ELパネルはLG製だな 
反応集男（高め）, 超薄型にしないと、安値合戦だとツムわわ 
反応集男（遅め）, 消費電力の少ないテレビを作ってよ  4Kとかいらないけど50インチくらいのが欲しい 
反応集男, 画像にこだわってるのが老人ばっかりで笑うわTVより老眼治した方が良く見えるぞ 
反応集女, アメリカでも売れてたな  東芝のブランドで安い  実際は中国企業だが 
反応集男（渋め）, >>36  ホントこれ  西室泰三とかな  東芝と郵政で巨額の損失出した無能が日本の上層部を渡り歩いているのだから 
反応集男（高め）, デジタル家電なんて、品質の差が出ないし、収益も出なくなっているので、執着してもしょうがないわけだが、  バブル崩壊後、日本政府は自国通貨高を放置、財政再建を理由に財政支出を減らし、民間経済の衰退を自己責任と切り捨ててきた。  で、日本企業は海外企業に買い取られることになるわけだが、よりにもよって、赤い国に買い取られるとはねぇ、、、、 
反応集男（遅め）, チョンパネでも赤字だからなー 
反応集男, こんな壊れやすいテレビ買うやついんのかよ… 
反応集女, 元日本ブランドのネームバリューがある  製品が安価で買えるから  無能Japが知らずに買っちゃてるだけだろ 
反応集男（渋め）, 外国に買収された日本企業って大量リストラで簡単に経営改善するよな 
反応集男（高め）, 無能Koreaは買わないの？ 
反応集男（遅め）, テレビは三菱リアル一択！ 
反応集男, >>9  モダンビジネスは無理よね。  意味すら判らんってより、正直ボケてる。 
反応集女, 今は、どこのメーカーが品質いいのかな？  65型ほしいねんけど、ソニー？ 
反応集男（渋め）, ほんと団塊世代経営者って万死に値する無能ドモ 
反応集男（高め）, REGZAのタイムシフトマシン最高 
反応集男（遅め）, >>32  うちは2008年のZ3500が未だに壊れない 
反応集男, >>14  今のregzaに東芝のロゴはついていない 
反応集女, 日本の経営が無能だったというオチ 
反応集男（渋め）, 成果主義の海外と生温い国内なんか比較にならなかった  単に作業が早い作業者が昇格しがちだが、それは結果と因果がなかったので無価値だった 
反応集男（高め）, >>12  中央サーバー機が録画して消費者の手元にある子機がそれを取りに行けばいいのにな 
反応集男（遅め）, BRAVIA買うわ 
反応集男, 東芝末期の頃のレグザは設計が酷かった 
反応集女, 昔は東芝のHDDレコーダーを何台も買ってたがフナイ製になってから買わなくなったな。 
反応集男（渋め）, >>6  いやソレだよほんま 
反応集男（高め）, ネットの奴らって半導体産業と家電産業しか語れないよな 
反応集男（遅め）, 12年前のレグザはまだ壊れる気配がない  買い替えられないじゃないか  次はソニー買うわ 
反応集男, 家電はもう中国に任せていいかもな 
反応集女, やっぱり値段だよ  高機能なんていらねー  ほどほど綺麗でほどほどの値段  これ日本企業が忘れてるとこなんだよ  テレビなんて見れればいいんだよ 
反応集男（渋め）, ブルーレイ付きの  三菱だが買い替える  必要性が感じられない  リモコンで向きが変えられるやつ 
反応集男（高め）, ブラウン管の方が高かったのに寿命も短かったよね 
反応集男（遅め）, >>46  老眼て治るの？ 
反応集男, やはり中国に呑み込まれて良くなるよね  ブリジストンもそう！次はトヨタ 
反応集女, >>70  その頃の東芝製品がピーク  そこからどんどん日本製品の技術水準が劣化していく 
