反応集男, 松井秀喜氏「バッターの才能としてかなわない選手」がいたことを明かす「パワーでしょうね」    巨人、米大リーグ・レッドソックスなどで活躍したプロ野球解説者の上原浩治氏が１６日、自身のユーチューブチャンネルを更新。  巨人、米大リーグ・ヤンキースなどで通算５０７本塁打を放った松井秀喜氏が出演し、打者としてかなわないと思っていた選手がいたことを明かした。   「バッターの才能としてかなわない選手はいます。間近にいたのがね」として名前を挙げたのが、ヤンキース時代の同僚で通算６９６本塁打のアレックス・ロドリゲス、同４４０本塁打のジェイソン・ジアンビ、同５０９本塁打のゲーリー・シェフィールドの３選手。    試合前、４人１組で回す打撃グループのメンバーの一人として組み入れられたといい、「（飛距離が違いすぎて）恥ずかしいから、ちょっとここに入れないでよ。違う組にしてよ」と感じていたと懐かしんだ。   松井氏は「日本にいた時は逆の立場だったんだろうな」と、メジャーに移籍したことで初めて感じたことだとし、最大の違いは「パワーでしょうね」と語っていた。    https://news.yahoo.co.jp/articles/5230d7a6f383167bae57d41f0cbca4dbf1aa33bf 
反応集女, パワー！ 
反応集男（渋め）, ステロイダー達への皮肉？ 
反応集男（高め）, にしこり 
反応集男（遅め）, 全員ステロイダーじゃねーか。 
反応集男, ヤーーー!!! 
反応集女, 少なくともアメリカでは松井が敵うようなバッターの方が少ないのでは 
反応集男（渋め）, >>1  ステロイドまみれのメジャーで活躍した野茂は過小評価  しかもフォークしかないのに  ボンズとの対戦は痺れた 
反応集男（高め）, 日本のことかと思ったらメジャーで3人しかいないの？ 
反応集男（遅め）, ずっとターミネーター1のシュワヘアー  なのは何故？  もっとお洒落ヘアーあるだろ 
反応集男, お薬 
反応集女, たった3人？  松井以上のバッターなんて腐る程いるだろｗ 
反応集男（渋め）, 松井秀喜   大谷選手の驚異的なホームランのペースに、ただただ感嘆しております。  彼が持っていた素質に加えて、バッティングへの探究心やトレーニングが、  メジャーリーグ屈指の長距離打者に成長させたのではないかと思っております。  私がヤンキースでプレーしていた時には、ジェイソン・ジオンビー選手やゲーリー・シェフィールド選手、  アレックス・ロドリゲス選手らに囲まれていましたが、彼たちのパワーに圧倒され、  私は『ここで長距離打者になるのは難しい』と感じていました。しかし、今の大谷選手は完全にそちら側の選手になっています。 
反応集男（高め）, つまりステロイド使ってない俺最強って言いたげ。 
反応集男（遅め）, 仮面ライダーステロイダー 
