反応集男, 　デジタル庁の統計によれば、1月5日時点で新型コロナワクチン（1回目）を接種したのは全人口の約77.8%にあたる約9800万人。逆に言えば、3000万人弱がワクチン未接種者ということになる。そんな中で注目されているのが「未接種者」「非接種者」を対象にした婚活サービスだ。ITライターが解説する。   「昨年のはじめ頃から、プロフィール欄にワクチンの接種状況を加える婚活サイトやマッチングサービスが増え始めました。ワクチン接種済の人しか参加できない婚活イベントがありましたが、ワクチン接種に抵抗がある人が多くいるのも事実。接種済みの人は正直、そこまでワクチン接種についてはこだわっていないのが大半。しかし、未接種の人は『パートナーは絶対に未接種でなければイヤ…』と抵抗が強い人が多い。そこで最近では未接種者同士をつなげるサービスが徐々に盛り上がってきているのです」   　サイトを検索すると「未接種者限定」を謳う婚活サイトがいくつも見られる。実際に婚活イベントに参加したという20代の女性に話を聞くことができた。ワクチンを接種しなかった理由については「将来子供が産めなくなる」「5年以内に死亡する」といった反ワクチン派としての主張を述べ、参加理由をこう語った。  　  「周囲の友人はほとんどワクチンを打ってしまいました。正直、信じられないという気持ちでした。せめて結婚する相手は未接種であってほしい。そんな思いで婚活イベントに参加したのですが、会場はもちろんノーマスク。どこのテーブルも“反ワク”の話で大盛り上がりでした。男女比で言うと、女性の方が多かったですね。男性陣の中には医師の方もいて、『将来、ワクチン接種者は献血もできなくなる』とおっしゃっていました」   　この未接種者限定のイベントには男女50名あまりが参加していたという。気になるのは参加条件だが…。  　  「未接種者の婚活イベントが盛り上がっているという噂を聞きつけて、ニセ未接種者も増えているそう。だけど私が参加したイベントでは、入り口でワクチンの接種クーポン券の提示が義務付けられています。ワクチン未接種なら、接種券のところにあるシールは台紙に貼られたままですから。ある男性参加者は、ワクチン接種券が届くなり破り捨ててしまったそうで、婚活イベントに参加するために、慌てて自治体に再発行してもらったんだとか」（前出・参加女性）   　コロナパンデミックが起きてから3年ぶりに行動制限のない年末年始を迎えたが、これからは婚活市場の“二極化”が進みそうだ。   https://asagei.biz/excerpt/53656?all=1 
反応集女, そっか 
反応集男（渋め）, >>1  こういうの出てくると思ってた 
反応集男（高め）, こわ 
反応集男（遅め）, どんなモンスターが集まるのか見てみたい 
反応集男, 子供が可哀想やな・・ 
反応集女, まあ子供に変なもん遺伝するし反ワクは同じ反ワク思想の相手と家庭を築いた方が揉める要素もなく幸せでしょう 
反応集男（渋め）, ガイジのコンパかな？ 
反応集男（高め）, やっばw 
反応集男（遅め）, 年収低そう 
反応集男, 2023/01/13　100万人あたりのコロナ感染率 https://pbs.twimg.com/media/Fma0tlTaUAIAfrQ.jpg  2023/01/13　100万人あたりのコロナ死亡率が過去最悪を連日で更新 https://pbs.twimg.com/media/Fma02jLaMAITN6Q.jpg 
反応集女, 思想強めの人ばっか来そうだな 
反応集男（渋め）, 宗教みたいな活動もセットやね 
反応集男（高め）, ワクチン接種者とセックスしたら感染リスクがあるし  妊娠しても流産死産の可能性や後遺症もって生まれるリスクも上がるしな   イギリスBBCですらワクチン問題取り上げ始めたから  日本のメディアも変わらざるを得なくなりそう 
反応集男（遅め）, アツい反ワクトークからの  夜のお注射 
反応集男, 未接種だけどマスクは徹底してつけてるよ  ただの煽り記事 
反応集女, こういうアホがクラスター起こしてんのとちゃうか？ 
反応集男（渋め）, 思想が合う者同士でいいじゃないw 
反応集男（高め）, >>6  むしろ血液汚染されてない健康な子供が生まれるだろ 
反応集男（遅め）, 東京五輪から急速にコロナが悪化 https://mao.5ch.net/test/read.cgi/olympic/1671623425/2  聖書を無料で読めるサイト　https://www.biblegateway.com/passage/?search=%E5%89%B5%E4%B8%96%E8%A8%98+567&version=JLB  68 
反応集男, 怖あ  マルチとかの草刈り場になりそう… 
反応集女, 変な人らの集会け？ 
反応集男（渋め）, >>1  ※ 
反応集男（高め）, そりゃ免疫崩壊のワク信はいつ倒れてもおかしくないから避けられるわ 
反応集男（遅め）, 同レベルの奴同士くっつく分には何より  くっついてから思想の違いが出たらストレスでしかないからな 
反応集男, 未接種は純血だから   汚れてないんだよ 
反応集女, 陰謀論とか好きそうだから話合うんじゃない？ 
反応集男（渋め）, ワクチン打つと血が汚れるからな😊 
反応集男（高め）, ヤバイやつが集まってるんだな 
