反応集男, イッカネズミが増えてくのが進化っていうのがどうしても解せない  コイルとかディグダは一応合体してるからまだわかるけど  イッカネズミは子供増えてるだけじゃん・・・ 
反応集女,その2匹の子供かは不明なんだよなぁ 
反応集男, 意味深なのやめろやｗ 
反応集男（高め）,いつの間にか 2匹の　子どもが　増えていた。  家族のようにも　見えるが　真相は　わからない。 4ひきかぞくの図鑑(スカーレット)の表記からしてこれだぞｗ 
反応集男（遅め）,バイオレット(ポケモンwikiより) 3びきかぞく  いつの間にか 子どもが 増えていた。 家族のように 暮らすが 3匹の 関係は 解明されていない。 4ひきかぞく  大きな 2匹が 子どもたちを 守りながら 戦う。 強い 相手には 全員で 立ち向かう。 
反応集男,バイオレットは逆なんだなｗ  スカーレットは3匹が普通の説明文で4匹がホラーｗ 
反応集男（渋め）,子供とは限らない  進化条件は他のワッカネズミを殴り殺した時  図鑑説明では「いつの間にか増えていた」 
反応集男（高め）,ネズミ算なのに数が収束していきそうな進化条件 
反応集男（渋め）, ねずみ講みたいに増えていくんだろう 
反応集女, 次回作でイッカネズミは進化して一匹になるよ  名前はリサンネズミ 
反応集男（渋め）, 3人ネズミと3節ノココッチは4%らしいな  しかも個体によって進化先固定という丁寧仕様 
